"","date","year","pollinator","block","plot","sum.visits","bumblebees","hoverflies","other.flies","ref.id","acmi","anlu","assu","caly","cami","capl","clsi","copa","frca","gatr","glma","grass","juba","plmc","plmr","poan","sili","trma","trwo","pc1","pc2","pc3","pc4"
"23","1-Aug-17",2017,3,19,"C",0,0,0,0,"1-Aug-17_2017_3_19_C",20,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1.33120835725001,-0.010161089467509,1.16013897859028,-1.66789359071242
"24","1-Aug-17",2017,3,19,"D",0,0,0,0,"1-Aug-17_2017_3_19_D",0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.743048901661358,0.296363058194245,-0.245780788403645,0.622326039864485
"25","1-Aug-17",2017,3,20,"A",0,0,0,0,"1-Aug-17_2017_3_20_A",3,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1.04231425845925,0.937326825580101,0.588310808879215,-0.814831614385664
"26","1-Aug-17",2017,3,20,"B",0,0,0,0,"1-Aug-17_2017_3_20_B",0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.908155744070184,-0.146979022168735,-0.549103288147612,0.438206940350476
"27","1-Aug-17",2017,3,20,"C",0,0,0,0,"1-Aug-17_2017_3_20_C",1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1.01655566335772,-0.160792304690627,-0.0175834738283081,-0.0085857378936963
"28","1-Aug-17",2017,3,20,"D",0,0,0,0,"1-Aug-17_2017_3_20_D",2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1.03446695467784,-0.0699876978098854,0.683118840287052,-0.133288313352125
"29","1-Aug-17",2017,3,21,"A",0,0,0,0,"1-Aug-17_2017_3_21_A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30926846665009,1.80901555125759,0.353333732867835,0.519626959578647
"30","1-Aug-17",2017,3,21,"B",0,0,0,0,"1-Aug-17_2017_3_21_B",1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1.01146114084903,-0.19315755522472,0.597207415605697,0.166975311470129
"31","1-Aug-17",2017,3,21,"C",0,0,0,0,"1-Aug-17_2017_3_21_C",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0.799852407411049,-0.693221791582117,0.375369947725528,0.836988851509407
"32","1-Aug-17",2017,3,21,"D",0,0,0,0,"1-Aug-17_2017_3_21_D",2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.910816962578472,0.28257748535801,0.640174816443196,-0.0711894406286355
"33","1-Aug-17",2017,3,22,"A",0,0,0,0,"1-Aug-17_2017_3_22_A",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.808433840639578,0.0630386015427979,0.393487835506588,0.762491251071051
"34","1-Aug-17",2017,3,22,"B",0,0,0,0,"1-Aug-17_2017_3_22_B",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.550043237730437,0.79979182486945,0.303747981714755,0.892258870870864
"35","1-Aug-17",2017,3,22,"C",0,0,0,0,"1-Aug-17_2017_3_22_C",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.550043237730437,0.79979182486945,0.303747981714755,0.892258870870864
"36","1-Aug-17",2017,3,22,"D",0,0,0,0,"1-Aug-17_2017_3_22_D",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.637774303300456,0.549642846474435,0.334217251528037,0.848199019493351
"37","10-Aug-18",2018,3,1,"A",1,0,1,0,"10-Aug-18_2018_3_1_A",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.440746703714556,1.92382101148057,0.550642439859332,-0.226955383518921
"38","10-Aug-18",2018,3,1,"B",0,0,0,0,"10-Aug-18_2018_3_1_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215012187961683,1.75507116960025,0.187390664213762,1.06051646769536
"39","10-Aug-18",2018,3,1,"C",1,0,0,0,"10-Aug-18_2018_3_1_C",0,0,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.452934758201559,3.38015733671274,-0.136638742521852,-0.269497423067708
"40","10-Aug-18",2018,3,1,"D",3,2,0,1,"10-Aug-18_2018_3_1_D",3,0,30,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.657161056606591,3.27505598946257,-0.403884739449563,-1.40926855050021
"41","10-Aug-18",2018,3,2,"A",2,0,2,0,"10-Aug-18_2018_3_2_A",4,0,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.665286298202922,3.46088460948388,0.25717080729927,-1.48884779066054
"42","10-Aug-18",2018,3,2,"B",4,1,3,0,"10-Aug-18_2018_3_2_B",0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430894954396232,3.23287530690125,-0.0947665564380832,-0.152725341248054
"43","10-Aug-18",2018,3,2,"C",9,9,0,0,"10-Aug-18_2018_3_2_C",3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403524745338497,1.86295993291493,0.519276801521909,-0.0212625485380625
"44","10-Aug-18",2018,3,2,"D",10,10,0,0,"10-Aug-18_2018_3_2_D",2,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592288928171712,3.40052888691466,0.152561363360716,-1.07746119666369
"45","10-Aug-18",2018,3,6,"A",0,0,0,0,"10-Aug-18_2018_3_6_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215012187961683,1.75507116960025,0.187390664213762,1.06051646769536
"46","10-Aug-18",2018,3,6,"B",2,0,2,0,"10-Aug-18_2018_3_6_B",12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603586648427578,2.22703190214116,0.7494545614531,-1.16459946856292
"47","10-Aug-18",2018,3,6,"C",0,0,0,0,"10-Aug-18_2018_3_6_C",2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478639832603708,1.99441545876404,-0.808857903069607,-0.403755044647262
"48","10-Aug-18",2018,3,6,"D",5,5,0,0,"10-Aug-18_2018_3_6_D",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334366537331096,2.57209956985685,0.0313953893385302,0.389755715803137
"49","10-Aug-18",2018,3,7,"A",1,0,1,0,"10-Aug-18_2018_3_7_A",25,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769748150716582,2.77319638402003,0.821418020819347,-2.10958989216478
"50","10-Aug-18",2018,3,7,"B",4,0,0,4,"10-Aug-18_2018_3_7_B",15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703727309439046,2.73541159653667,0.70518490458382,-1.73072939755404
"51","10-Aug-18",2018,3,7,"C",1,0,1,0,"10-Aug-18_2018_3_7_C",22,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767501083055063,2.86239817316233,0.773213309137399,-2.09498449278825
"52","10-Aug-18",2018,3,7,"D",0,0,0,0,"10-Aug-18_2018_3_7_D",10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633462744394061,2.57404846811237,0.640722759008539,-1.32980654379487
"53","10-Aug-18",2018,3,10,"A",0,0,0,0,"10-Aug-18_2018_3_10_A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30926846665009,1.80901555125759,0.353333732867835,0.519626959578647
"54","10-Aug-18",2018,3,10,"B",0,0,0,0,"10-Aug-18_2018_3_10_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215012187961683,1.75507116960025,0.187390664213762,1.06051646769536
